,id,input_a,input_b,output_add,output_sub,output_add_MR1,output_sub_MR1,output_add_MR2,output_sub_MR2,output_add_MR3,output_sub_MR3,output_add_MR4,output_sub_MR4
0,f2YwwcFnsjXPtUEhMMoXWd,10,10,20,0,20,0,60,0,26,0,14,0
1,BCDTUmJEyvjCDdzSWWz5y5,20,10,30,10,30,-10,90,30,36,10,24,10
2,8t9iN69hdKz3Z8w7ErSXnW,12,10,22,2,22,-2,66,6,28,2,16,2
3,jYuKLAjF7MQrpy67Yibukj,20,12,32,8,32,-8,96,24,38,8,26,8
4,H6sFyJXtVbetVeruezfnqF,23,12,35,11,35,-11,105,33,41,11,29,11
5,9ybCth9wK94jZyqth9nvWE,23,16,39,7,39,-7,117,21,45,7,33,7
6,WMDzwGMnooM3CEokBn7n8y,23,24,47,-1,47,1,141,-3,53,-1,41,-1
7,j8vdisPRUomqBysDAfVQWh,13,10,23,3,23,-3,69,9,29,3,17,3
8,VgqYUYaciQJKovVWh87RkJ,13,10,23,3,23,-3,69,9,29,3,17,3
9,fFrj3TbPq6pgCW2WDrKovK,20,13,33,7,33,-7,99,21,39,7,27,7
10,Jq8MoTozyAu8CLd87vuaAm,20,25,45,-5,45,5,135,-15,51,-5,39,-5
11,EMChWm6wRUsoBZyqTDXCaD,20,25,45,-5,45,5,135,-15,51,-5,39,-5
12,HsK6MMtocBfzwVv2GrTmuz,10,10,20,0,20,0,60,0,26,0,14,0
13,iZzuymmkwLEWhCy24uf8QV,10,10,20,0,20,0,60,0,26,0,14,0
14,jqpGpt2k42AD8y6eP3GMFi,20,10,30,10,30,-10,90,30,36,10,24,10
15,DFTs6cZaFmaBXMGYc8ppn8,20,10,30,10,30,-10,90,30,36,10,24,10
16,g4WCyFZxMxiVmv2GP9eTyt,20,18,38,2,38,-2,114,6,44,2,32,2
17,V3ETKex6JWwysrNzf2Eg4t,20,10,30,10,30,-10,90,30,36,10,24,10
18,Q5Rd6ikyyRWETXo22RmP89,20,10,30,10,30,-10,90,30,36,10,24,10
19,6VqD7akoxuSELDDP9KpsMA,24,10,34,14,34,-14,102,42,40,14,28,14
20,99X2dts8Gh3ZVQrjubMLdM,12,10,22,2,22,-2,66,6,28,2,16,2
21,mEMMGyPLnSSWo6EPo8NrmZ,11,10,21,1,21,-1,63,3,27,1,15,1
22,iqB7NCiAYr9PzFaQYsqrkY,20,10,30,10,30,-10,90,30,36,10,24,10
23,7iiUoyhXHHFaeKVgBwpFby,20,26,46,-6,46,6,138,-18,52,-6,40,-6
24,AWc9mCuYuWxczChsE4bFnQ,20,26,46,-6,46,6,138,-18,52,-6,40,-6
25,mHkRjiuWUn68mpv4uaAc8e,20,26,46,-6,46,6,138,-18,52,-6,40,-6
26,ChQr22GVA4HAfU46L6JxBz,20,26,46,-6,46,6,138,-18,52,-6,40,-6
27,ZPa7ma4XrbzBipUTXbCojL,20,10,30,10,30,-10,90,30,36,10,24,10
28,gUufLVYJUYg48DTDA3vfJV,20,10,30,10,30,-10,90,30,36,10,24,10
29,B4mvFFJoQQMWajSX5iUuCU,20,20,40,0,40,0,120,0,46,0,34,0
30,dJnxuAFhAu9DXdvZyEJEAP,20,20,40,0,40,0,120,0,46,0,34,0
31,7QiLfWZ9oD4vzXogiLcSHw,12,20,32,-8,32,8,96,-24,38,-8,26,-8
32,WkkQL3eCejH6wmF7tKHpcC,20,20,40,0,40,0,120,0,46,0,34,0
33,3KpqBM5fCracTmqgQUnLWG,17,20,37,-3,37,3,111,-9,43,-3,31,-3
34,KuzQnxS5VotvC7MbsyjDdG,17,20,37,-3,37,3,111,-9,43,-3,31,-3
35,HCEyvdfaqnswV5u3XoDf6G,29,20,49,9,49,-9,147,27,55,9,43,9
36,VJcDtir5YWYa5GbB3j5TCG,29,20,49,9,49,-9,147,27,55,9,43,9
37,ik9UKUCyo8K9RpCGZSCgSJ,20,20,40,0,40,0,120,0,46,0,34,0
38,VYuhTT7M2JusRaiiWQWQc9,20,20,40,0,40,0,120,0,46,0,34,0
39,BxYEgxNwHLs3H7vHAVjgGd,20,20,40,0,40,0,120,0,46,0,34,0
40,GZCGhK5PsnLYTS6jhqRPen,20,23,43,-3,43,3,129,-9,49,-3,37,-3
41,npadxL55hiNrgR4aBwxBNc,23,10,33,13,33,-13,99,39,39,13,27,13
42,aTeJcXewsEnAQhQBRtuAwd,23,20,43,3,43,-3,129,9,49,3,37,3
43,WkxkHJ8AqcPhXwLBLYPwTD,20,20,40,0,40,0,120,0,46,0,34,0
44,aFJyE8HKPg3vDNTQjTnizx,20,10,30,10,30,-10,90,30,36,10,24,10
45,SM84JRZUnoLGzcHgwKEGiu,12,20,32,-8,32,8,96,-24,38,-8,26,-8
46,SRXmyDkfRMoy3jQzZDrb6U,23,12,35,11,35,-11,105,33,41,11,29,11
47,NrYHpozdkBPcT4XrEJPEkY,20,20,40,0,40,0,120,0,46,0,34,0
48,d3UWrU6R7sVsGLHgVc4Yx3,20,20,40,0,40,0,120,0,46,0,34,0
49,egy8wQVhiM6Me7SfysYaNU,20,20,40,0,40,0,120,0,46,0,34,0
50,bmqhfSVYtgFy8nK3a8Zwsm,15,10,25,5,25,-5,75,15,31,5,19,5
51,P7KQC5fofExRg7o8P65K64,24,15,39,9,39,-9,117,27,45,9,33,9
52,mVpRzMPZLu4Bky42pwNsrs,20,10,30,10,30,-10,90,30,36,10,24,10
53,a72p4qsoNWS7Hfxys4Aw5J,20,10,30,10,30,-10,90,30,36,10,24,10
54,czWStBVWn3i7rmwLB94ipA,20,10,30,10,30,-10,90,30,36,10,24,10
55,fkG5oBMvKrs4sWrMXbDEvr,18,10,28,8,28,-8,84,24,34,8,22,8
56,UpKbYseS6uLHQHsxq5DKwU,18,10,28,8,28,-8,84,24,34,8,22,8
57,jqU5EMBaXA6nCcDHRYGTem,20,10,30,10,30,-10,90,30,36,10,24,10
58,LMP6nRp8DUEzwrveAC4hJu,28,10,38,18,38,-18,114,54,44,18,32,18
59,UgYsbzjFufH2rcdFhAWAzX,15,10,25,5,25,-5,75,15,31,5,19,5
60,TcbNTMmamDjSLrh6Ejm6KN,28,10,38,18,38,-18,114,54,44,18,32,18
61,9nRtnR6R4fSnRtTWiTNyxo,28,10,38,18,38,-18,114,54,44,18,32,18
62,UAQHASxeSu2CwN7ayKGrBS,20,10,30,10,30,-10,90,30,36,10,24,10
63,aaH32695L96ecjnewfdKpS,21,10,31,11,31,-11,93,33,37,11,25,11
64,HaYgUxfhyvNKfQ52BLjnif,13,10,23,3,23,-3,69,9,29,3,17,3
65,bQFCpsrgGUHz9yrTAESBXC,13,10,23,3,23,-3,69,9,29,3,17,3
66,QBnCnX93oiRsc2i4Rwwria,20,10,30,10,30,-10,90,30,36,10,24,10
67,g8G8Uku8WpeQQotkbZjkjA,20,20,40,0,40,0,120,0,46,0,34,0
68,guGSjajowBL7XWgKpTTQf2,12,20,32,-8,32,8,96,-24,38,-8,26,-8
69,PwygYgcTQp6kkGSvEhY7z8,12,20,32,-8,32,8,96,-24,38,-8,26,-8
70,SXEz3un9EuoKozseCQtWeS,21,12,33,9,33,-9,99,27,39,9,27,9
71,49fcwQYh2iHNpGggnnipWo,14,23,37,-9,37,9,111,-27,43,-9,31,-9
72,E9mK7t7xSdo27AZzDDe7Qw,24,10,34,14,34,-14,102,42,40,14,28,14
73,8xykcmDEYQBj3zUegQASXf,20,10,30,10,30,-10,90,30,36,10,24,10
74,dZMYsqZRXuzuxkK7r7GL2F,12,10,22,2,22,-2,66,6,28,2,16,2
75,PfCRfPQGg2i9hCtsn5n2Pv,12,12,24,0,24,0,72,0,30,0,18,0
76,dEc6qsVFpCCe3HPzrtfzwg,20,12,32,8,32,-8,96,24,38,8,26,8
77,eNJUcFnbPuiLeZUJhyHCDN,11,20,31,-9,31,9,93,-27,37,-9,25,-9
78,RnyEbJdfcphzf8yPVPAkWJ,20,11,31,9,31,-9,93,27,37,9,25,9
79,KthP35kCG9MuHqJihoXaZg,20,20,40,0,40,0,120,0,46,0,34,0
80,T2MQi5FhfpDDD9W3LmdQj3,20,27,47,-7,47,7,141,-21,53,-7,41,-7
81,Ew92z4gFes6aUeRcVqCErr,20,27,47,-7,47,7,141,-21,53,-7,41,-7
82,cG3yuUMw4bpqfwWpqtbvzh,20,20,40,0,40,0,120,0,46,0,34,0
83,6pY4zMFmwjPpzGBMk5ks8Y,12,10,22,2,22,-2,66,6,28,2,16,2
84,kJkeLssDV5dCnUhMMB8sT2,12,12,24,0,24,0,72,0,30,0,18,0
85,eDUU3WgzvG3tcVSnL3ok8R,12,12,24,0,24,0,72,0,30,0,18,0
86,QxvMp2igVWhYFEBpgZwPwR,12,12,24,0,24,0,72,0,30,0,18,0
87,E5W2eQtM3YNa4yWzWRMZUj,24,10,34,14,34,-14,102,42,40,14,28,14
88,MvHQRkyeREmRNQwbNWBcju,21,10,31,11,31,-11,93,33,37,11,25,11
89,8PyWDJ8qBNeJV8j6KBJHiH,21,18,39,3,39,-3,117,9,45,3,33,3
90,bRa4zEaSjMZfjYBcjkCsnR,13,21,34,-8,34,8,102,-24,40,-8,28,-8
91,RYbjXijLQEsiZ442PcSSaj,27,13,40,14,40,-14,120,42,46,14,34,14
92,BxhgzD3Vn5x58jueEbkrT2,17,10,27,7,27,-7,81,21,33,7,21,7
93,RTCMVBDCsCZfzZHtxnfzDU,12,10,22,2,22,-2,66,6,28,2,16,2
94,Z4BozchBj2hxbykXpkKvbu,12,27,39,-15,39,15,117,-45,45,-15,33,-15
95,BTF29noezdjjRwk6WsTAtY,24,27,51,-3,51,3,153,-9,57,-3,45,-3
96,LH76uXr7NnkSAynZZeQ2MH,24,24,48,0,48,0,144,0,54,0,42,0
97,BH8Kz2aJLD4Nq4jYFbAGzy,12,10,22,2,22,-2,66,6,28,2,16,2
98,cFyqMqnZLUSDFVBzYkptgp,20,10,30,10,30,-10,90,30,36,10,24,10
99,HWeqAg7zXvw9trHAHgBYWy,20,10,30,10,30,-10,90,30,36,10,24,10
100,fLipnbWshDpEQn5iupgDPT,11,10,21,1,21,-1,63,3,27,1,15,1
101,c39M5TYZ3fQaeB2XcsoDy5,19,10,29,9,29,-9,87,27,35,9,23,9
102,beXVUSrwUDuqCsJhNLLufj,20,20,40,0,40,0,120,0,46,0,34,0
103,Lcz8ZmXvtWn5GeiS794L42,20,15,35,5,35,-5,105,15,41,5,29,5
104,cWMBgNTdKxjLQpMryMTrEC,20,20,40,0,40,0,120,0,46,0,34,0
105,gPZvSpXjmr7FfuFeG36XoK,20,20,40,0,40,0,120,0,46,0,34,0
106,WV9gxiPxaD8Qqgy8XZ4YX3,20,15,35,5,35,-5,105,15,41,5,29,5
107,B8WRXGbR7H7wvpB8VvZxqF,20,20,40,0,40,0,120,0,46,0,34,0
108,gDWMPzbBXeAAwL7WzMQneb,20,20,40,0,40,0,120,0,46,0,34,0
109,Q3SPqr8abi8ogYwAxz2cQy,20,20,40,0,40,0,120,0,46,0,34,0
110,ibBLwBpqrWfK5v6kroXbhZ,20,21,41,-1,41,1,123,-3,47,-1,35,-1
111,9tLWd6Tg5SFTBXZeg3zpGn,20,21,41,-1,41,1,123,-3,47,-1,35,-1
112,dgunRKdxDmwSDGAsemmXYn,24,10,34,14,34,-14,102,42,40,14,28,14
113,bLVPwxX2yWXtdtHgCcbnUp,19,24,43,-5,43,5,129,-15,49,-5,37,-5
114,UU45knCmRmFC7URBYcysZp,24,10,34,14,34,-14,102,42,40,14,28,14
115,dYEzHbzdvzuDYc2aRYTo8f,20,24,44,-4,44,4,132,-12,50,-4,38,-4
116,X9e7jDjUvMWXR5ZVxfpoiF,20,10,30,10,30,-10,90,30,36,10,24,10
117,SDtEm5KLXLUaAkfMk4vdrk,19,10,29,9,29,-9,87,27,35,9,23,9
118,X4ZKccAttARhUc2qYsCeUB,20,19,39,1,39,-1,117,3,45,1,33,1
119,dyTDAvPPJEgYFMYnfvMMW7,15,19,34,-4,34,4,102,-12,40,-4,28,-4
120,5skzKJXcet3zFFvicXSusi,10,15,25,-5,25,5,75,-15,31,-5,19,-5
121,TS3tFi8gudhAPEF6FnT6AJ,10,27,37,-17,37,17,111,-51,43,-17,31,-17
122,TwuvPPhNZFWABKXMvT8o7z,20,20,40,0,40,0,120,0,46,0,34,0
123,G5oPJhjkrnjfWLno4qAPhK,23,20,43,3,43,-3,129,9,49,3,37,3
124,2q8PtunZvg63EMLVaay3HM,25,25,50,0,50,0,150,0,56,0,44,0
125,A82ijEPsLd6uEz6mjmNUd8,10,25,35,-15,35,15,105,-45,41,-15,29,-15
126,ZvhAWjrGgDfJjcVGTa3w2B,10,25,35,-15,35,15,105,-45,41,-15,29,-15
127,6pbGbTcmXiAWmf2HyWmCia,23,20,43,3,43,-3,129,9,49,3,37,3
128,B5YcnwvvzHDrvw9N9GcRX2,23,10,33,13,33,-13,99,39,39,13,27,13
129,8KZNNbx3fiuR6pLbajaGLe,23,10,33,13,33,-13,99,39,39,13,27,13
130,e3oUpoGnNnP9GLkGLL3gNq,11,10,21,1,21,-1,63,3,27,1,15,1
131,DECDQA3XSzTRGdXFWFATXj,11,14,25,-3,25,3,75,-9,31,-3,19,-3
132,ACK6BoJ9UN2YGQp3woqDzH,10,10,20,0,20,0,60,0,26,0,14,0
133,2poc2if4KPvtB4P2J6s7aM,12,10,22,2,22,-2,66,6,28,2,16,2
134,GrCsxsqQ85N5n6kttB8mQh,28,10,38,18,38,-18,114,54,44,18,32,18
135,jjNcDdSQbD8F6bw82tiWiy,29,10,39,19,39,-19,117,57,45,19,33,19
136,LQxjL75LCSngV5Pt6Sks7q,29,10,39,19,39,-19,117,57,45,19,33,19
137,jCd5iMkW94JUo5s6Guffyj,12,10,22,2,22,-2,66,6,28,2,16,2
138,2snYUm8cwxzsaZ2Q9diLep,12,13,25,-1,25,1,75,-3,31,-1,19,-1
139,mQVP7wF4EruMiBgJm9JKzi,20,13,33,7,33,-7,99,21,39,7,27,7
140,Mt8Kn2kDcCYrKM5xUohG6P,20,13,33,7,33,-7,99,21,39,7,27,7
141,WPScAcvRMQp9aSNwvxFbed,20,13,33,7,33,-7,99,21,39,7,27,7
142,Z2zxNAfK6P5QP2tzUvAGMw,20,10,30,10,30,-10,90,30,36,10,24,10
143,P5zSBrLDr8chP7ubRYrAsW,20,27,47,-7,47,7,141,-21,53,-7,41,-7
144,RTnQTx9iCVEXGoaXoffCCc,12,27,39,-15,39,15,117,-45,45,-15,33,-15
145,ZrcMyKjbdaNwMwhgX9mfeS,12,27,39,-15,39,15,117,-45,45,-15,33,-15
146,mwKqfApCnagzN8Xfr4ZwSk,12,12,24,0,24,0,72,0,30,0,18,0
147,AaLkhCwdHuriod2t3mzJTt,28,10,38,18,38,-18,114,54,44,18,32,18
148,A7oMjP7F5b3B8YFmRm9QpJ,15,10,25,5,25,-5,75,15,31,5,19,5
149,4pwxqsfBrzndq3ijPdTZNr,20,10,30,10,30,-10,90,30,36,10,24,10
150,Xp67fSnYBmiMQT6t5jBnLR,22,10,32,12,32,-12,96,36,38,12,26,12
151,fNFekBPB4Vsx6jWJqMErWG,22,10,32,12,32,-12,96,36,38,12,26,12
152,RtDs9EfVuKZ9UmVVT5pFZa,20,20,40,0,40,0,120,0,46,0,34,0
153,AtYEGKYFZHrxDoS3YBb5T5,20,20,40,0,40,0,120,0,46,0,34,0
154,B8CLYufPzebTMmLMJiTBXq,20,20,40,0,40,0,120,0,46,0,34,0
155,V2jKhtxAwQtLdamBUPjVX9,20,20,40,0,40,0,120,0,46,0,34,0
156,YPz2JbV7afWj2KSVBgZvfg,20,21,41,-1,41,1,123,-3,47,-1,35,-1
157,TUkFM5gEu9TJkAyfH8j8MZ,15,10,25,5,25,-5,75,15,31,5,19,5
158,RqBSXLAjsvdZKsMtV4y9ZA,20,15,35,5,35,-5,105,15,41,5,29,5
159,7ne72crdtX5VCjmZNnUv4L,23,20,43,3,43,-3,129,9,49,3,37,3
160,EaguZF9SFFWEDUCJpKFGU5,20,15,35,5,35,-5,105,15,41,5,29,5
161,DebDCFgpWpyo4M9sbpfAs8,20,11,31,9,31,-9,93,27,37,9,25,9
162,dJKuCtnaFAYFf4QQvJPDhG,20,20,40,0,40,0,120,0,46,0,34,0
163,iE8nh64pPurcVYuyFMafPm,20,20,40,0,40,0,120,0,46,0,34,0
164,fpKbin3GYibkPYYNFKwXY6,20,20,40,0,40,0,120,0,46,0,34,0
165,hoGtb3bYPp2YxyxxeiDS7U,13,20,33,-7,33,7,99,-21,39,-7,27,-7
166,joShnJ8jYtwQWojcdefdF9,13,20,33,-7,33,7,99,-21,39,-7,27,-7
167,aLLfK3VbDJyAm9SKjA4bdy,20,10,30,10,30,-10,90,30,36,10,24,10
168,3xY7wRuh3AJpfyALjsXuNr,20,10,30,10,30,-10,90,30,36,10,24,10
169,CptU8AJc6CofEb3iQAhjmE,20,10,30,10,30,-10,90,30,36,10,24,10
170,WE3eu8Qr8hERH38i2LK3Zt,21,10,31,11,31,-11,93,33,37,11,25,11
171,AoZwNiJunaA9eS2vvbkCwh,14,21,35,-7,35,7,105,-21,41,-7,29,-7
172,aaFwyHRJGXLvx3fiXP5pFf,20,10,30,10,30,-10,90,30,36,10,24,10
173,bwC7dV4c7UEDKfULM69WSM,28,10,38,18,38,-18,114,54,44,18,32,18
174,KdxRNmh34vb2tk6awfpuYM,28,28,56,0,56,0,168,0,62,0,50,0
175,jesFo9wD3P5h7DCdqGkML7,28,10,38,18,38,-18,114,54,44,18,32,18
176,ZMv2sbmjKiXXtqGg5YGByH,12,10,22,2,22,-2,66,6,28,2,16,2
177,9hxqwdkRdf3wdFmSuXPB2j,25,20,45,5,45,-5,135,15,51,5,39,5
178,cVtS3ZxarsGCNyHMbwVLjM,25,18,43,7,43,-7,129,21,49,7,37,7
179,6m5yBTtCiACpxfsFFhYKB2,12,10,22,2,22,-2,66,6,28,2,16,2
180,gzE6UUguy9JyYP9vnMRkEr,12,12,24,0,24,0,72,0,30,0,18,0
181,JhkJYfAf7fbqsPpJLZ7Z9Y,16,12,28,4,28,-4,84,12,34,4,22,4
182,EvD9XsFszS4qSYx4EzNspc,20,10,30,10,30,-10,90,30,36,10,24,10
183,b8W9pgx8LRQdJVMWib9da5,12,10,22,2,22,-2,66,6,28,2,16,2
184,YxwG8HGNnAe6SC7kVmH54i,12,10,22,2,22,-2,66,6,28,2,16,2
185,nnjkHXwPX2sA8maApPwJqP,14,12,26,2,26,-2,78,6,32,2,20,2
186,6Q6xV7YwzeXzKa8sf3Hysu,14,10,24,4,24,-4,72,12,30,4,18,4
187,4aHkjPRJSwmys6XMhA5uAd,28,10,38,18,38,-18,114,54,44,18,32,18
188,e9RFLX3puyqb5M2aHxFibW,16,10,26,6,26,-6,78,18,32,6,20,6
189,mGVGF4cGNeq22VwdBDMGcR,16,10,26,6,26,-6,78,18,32,6,20,6
190,ejNn8ghqorCUu3qNhWbSik,12,10,22,2,22,-2,66,6,28,2,16,2
191,hfvTzYSRrsRKTDtvGbHnz5,12,12,24,0,24,0,72,0,30,0,18,0
192,AiAuPduf8bB9vLXn33dLVq,12,10,22,2,22,-2,66,6,28,2,16,2
193,T7uvYT7SWY397ZffRpxfWY,12,10,22,2,22,-2,66,6,28,2,16,2
194,2uMXtx3NwS9qP7RzAkMgow,20,12,32,8,32,-8,96,24,38,8,26,8
195,Sxe37Jhkp2UGMFEZ5CYzk4,10,12,22,-2,22,2,66,-6,28,-2,16,-2
196,Js8bmhy7BgJgXTyXTu63fG,26,12,38,14,38,-14,114,42,44,14,32,14
197,MPBFoYpsD6KrQQwxCsh2VZ,20,10,30,10,30,-10,90,30,36,10,24,10
198,ahbeLqRF9RZkkfEWkSQgqb,20,10,30,10,30,-10,90,30,36,10,24,10
199,fedTkLY6AdEvNQt8D2DM6j,20,18,38,2,38,-2,114,6,44,2,32,2
200,P5Fg4UrWCsqEfjcpiLGhki,20,20,40,0,40,0,120,0,46,0,34,0
201,UMFZuD3bZaBRk5KZbeS97p,20,20,40,0,40,0,120,0,46,0,34,0
202,kecoXqjmMKvzbBEFXPug6K,24,10,34,14,34,-14,102,42,40,14,28,14
203,H8XAKHD7JWtGp6CTv9NHip,20,24,44,-4,44,4,132,-12,50,-4,38,-4
204,gatKdv2JwPavvqYmkyu6s9,20,24,44,-4,44,4,132,-12,50,-4,38,-4
205,oF2UJNacuZQ2HoFUQGyrMm,25,25,50,0,50,0,150,0,56,0,44,0
206,MRarYEW7PrgvCPUzpfKDdn,25,25,50,0,50,0,150,0,56,0,44,0
207,Zp7vv9y5HgMqpqLqeAwt7V,28,10,38,18,38,-18,114,54,44,18,32,18
208,5xCqPGXGMqsP3GX79Mzwv4,28,10,38,18,38,-18,114,54,44,18,32,18
209,caAPpgsAZ2qqSkPW3okiDw,28,10,38,18,38,-18,114,54,44,18,32,18
210,7dGz49DuyrD9TF4uW4B5LG,28,16,44,12,44,-12,132,36,50,12,38,12
211,LNU7C48jLzgEexpEdDMMtz,28,25,53,3,53,-3,159,9,59,3,47,3
212,6rQvFiWPLWCxJ9mykKwexw,26,26,52,0,52,0,156,0,58,0,46,0
213,HYuJv6bmtFPceAZkGo7EVm,26,24,50,2,50,-2,150,6,56,2,44,2
214,D42EYLWWMfHJ5SJ2kAvB5G,26,24,50,2,50,-2,150,6,56,2,44,2
215,aM3imG8phqsZd4Q7TGRufg,26,24,50,2,50,-2,150,6,56,2,44,2
216,TMTMzxbeHYHKVuPi6YWdiM,10,24,34,-14,34,14,102,-42,40,-14,28,-14
217,NUR6mYJxxmoXvQE6DiCcaV,16,16,32,0,32,0,96,0,38,0,26,0
218,CVbGg8Xfj6XAidmFJPnhWR,16,16,32,0,32,0,96,0,38,0,26,0
219,3BVE44ARKRfEXs3DDTJ3Az,16,26,42,-10,42,10,126,-30,48,-10,36,-10
220,9LFv58kZoxjjWRCwd4GX4A,16,26,42,-10,42,10,126,-30,48,-10,36,-10
221,Ay8mEoQnzpbeq8YwJThwBE,16,20,36,-4,36,4,108,-12,42,-4,30,-4
222,i3vDe2mc7aKkmZH6f3gpJ6,26,10,36,16,36,-16,108,48,42,16,30,16
223,MUkAGWWWBovHfpRkteGtT2,26,20,46,6,46,-6,138,18,52,6,40,6
224,V3dnvtvgYcoPcquhpf7NVf,10,11,21,-1,21,1,63,-3,27,-1,15,-1
225,EvSpYTNjYDzbHBENVLp2Jk,10,10,20,0,20,0,60,0,26,0,14,0
226,Bmb8TBvXKQnLqCzBPgeH3n,14,10,24,4,24,-4,72,12,30,4,18,4
227,aPc6sNrAuRJeL4iShM2V8i,20,13,33,7,33,-7,99,21,39,7,27,7
228,UZPsD5kwWZsbaJdc8JPfQe,20,13,33,7,33,-7,99,21,39,7,27,7
229,AQ7nyN2GkQXKW5CqaU8kk6,12,20,32,-8,32,8,96,-24,38,-8,26,-8
230,ar2FffTqUk7ZTScdDXj7Lh,20,13,33,7,33,-7,99,21,39,7,27,7
231,efL53ztMpAMigKWwe2C2fb,10,10,20,0,20,0,60,0,26,0,14,0
232,QPJYQS3SGR9aTrTkJjsEP9,20,10,30,10,30,-10,90,30,36,10,24,10
233,aqzESXeSzxf9Ncm8YUWxFd,20,25,45,-5,45,5,135,-15,51,-5,39,-5
234,JNwBF4BEW6x8SPGcApxyKt,12,20,32,-8,32,8,96,-24,38,-8,26,-8
235,D6KpfgdNaqu7AnWaQoKAtC,20,25,45,-5,45,5,135,-15,51,-5,39,-5
236,eyrTWEdcErwo7J8XBR2aMx,20,20,40,0,40,0,120,0,46,0,34,0
237,GmtezRdMp6brQATsk7Er84,20,10,30,10,30,-10,90,30,36,10,24,10
238,aRSvJkctvY6Cn7pECpoREw,14,10,24,4,24,-4,72,12,30,4,18,4
239,fVujyWQ2PzDe7K7T7FCMG7,13,14,27,-1,27,1,81,-3,33,-1,21,-1
240,HM2QAQoDKC6xyViUZyLpsw,13,14,27,-1,27,1,81,-3,33,-1,21,-1
241,dDzaTv6WoYmwyV3xNomawv,13,14,27,-1,27,1,81,-3,33,-1,21,-1
242,6evS4NhWFMpaV3t4pkkC3G,20,10,30,10,30,-10,90,30,36,10,24,10
243,cBqDVSsXghjgnbSQd2MxkN,20,10,30,10,30,-10,90,30,36,10,24,10
244,VAeScW45G6fcxxXhrFA2uW,13,10,23,3,23,-3,69,9,29,3,17,3
245,YmpRzYFzVjvmWpcq4wxdU6,20,13,33,7,33,-7,99,21,39,7,27,7
246,itopDdVZx8rLzTJD92waVG,24,13,37,11,37,-11,111,33,43,11,31,11
247,mysxtUAbwzRq4QTRwUUzWj,20,10,30,10,30,-10,90,30,36,10,24,10
