,input_a,input_b,operand,operand_str,output,MR1_input_a,MR1_input_b,MR1_output,constant,MR2_input_a,MR2_input_b,MR2_output,MR3_input_a,MR3_input_b,MR3_output,MR4_input_a,MR4_input_b,MR4_output
0,3,0,1,sub,3.0,0.0,3.0,-3.0,5.0,15.0,0.0,15.0,8.0,5.0,3.0,-2.0,-5.0,3.0
1,7,5,1,sub,2.0,5.0,7.0,-2.0,8.0,56.0,40.0,16.0,15.0,13.0,2.0,-1.0,-3.0,2.0
2,7,1,1,sub,6.0,1.0,7.0,-6.0,7.0,49.0,7.0,42.0,14.0,8.0,6.0,0.0,-6.0,6.0
3,4,0,1,sub,4.0,0.0,4.0,-4.0,1.0,4.0,0.0,4.0,5.0,1.0,4.0,3.0,-1.0,4.0
4,1,4,1,sub,-3.0,4.0,1.0,3.0,2.0,2.0,8.0,-6.0,3.0,6.0,-3.0,-1.0,2.0,-3.0
5,2,1,1,sub,1.0,1.0,2.0,-1.0,3.0,6.0,3.0,3.0,5.0,4.0,1.0,-1.0,-2.0,1.0
6,3,6,1,sub,-3.0,6.0,3.0,3.0,9.0,27.0,54.0,-27.0,12.0,15.0,-3.0,-6.0,-3.0,-3.0
7,9,5,1,sub,4.0,5.0,9.0,-4.0,6.0,54.0,30.0,24.0,15.0,11.0,4.0,3.0,-1.0,4.0
8,5,2,1,sub,3.0,2.0,5.0,-3.0,6.0,30.0,12.0,18.0,11.0,8.0,3.0,-1.0,-4.0,3.0
9,8,6,1,sub,2.0,6.0,8.0,-2.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,8.0,6.0,2.0
10,4,8,1,sub,-4.0,8.0,4.0,4.0,3.0,12.0,24.0,-12.0,7.0,11.0,-4.0,1.0,5.0,-4.0
11,7,8,1,sub,-1.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,-1.0,7.0,8.0,-1.0
12,9,7,1,sub,2.0,7.0,9.0,-2.0,3.0,27.0,21.0,6.0,12.0,10.0,2.0,6.0,4.0,2.0
13,3,4,1,sub,-1.0,4.0,3.0,1.0,9.0,27.0,36.0,-9.0,12.0,13.0,-1.0,-6.0,-5.0,-1.0
14,7,3,1,sub,4.0,3.0,7.0,-4.0,8.0,56.0,24.0,32.0,15.0,11.0,4.0,-1.0,-5.0,4.0
15,5,0,1,sub,5.0,0.0,5.0,-5.0,2.0,10.0,0.0,10.0,7.0,2.0,5.0,3.0,-2.0,5.0
16,7,5,1,sub,2.0,5.0,7.0,-2.0,8.0,56.0,40.0,16.0,15.0,13.0,2.0,-1.0,-3.0,2.0
17,3,5,1,sub,-2.0,5.0,3.0,2.0,2.0,6.0,10.0,-4.0,5.0,7.0,-2.0,1.0,3.0,-2.0
18,9,5,1,sub,4.0,5.0,9.0,-4.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,9.0,5.0,4.0
19,3,4,1,sub,-1.0,4.0,3.0,1.0,7.0,21.0,28.0,-7.0,10.0,11.0,-1.0,-4.0,-3.0,-1.0
20,2,1,1,sub,1.0,1.0,2.0,-1.0,4.0,8.0,4.0,4.0,6.0,5.0,1.0,-2.0,-3.0,1.0
21,3,7,1,sub,-4.0,7.0,3.0,4.0,7.0,21.0,49.0,-28.0,10.0,14.0,-4.0,-4.0,0.0,-4.0
22,4,9,1,sub,-5.0,9.0,4.0,5.0,2.0,8.0,18.0,-10.0,6.0,11.0,-5.0,2.0,7.0,-5.0
23,6,0,1,sub,6.0,0.0,6.0,-6.0,3.0,18.0,0.0,18.0,9.0,3.0,6.0,3.0,-3.0,6.0
24,5,0,1,sub,5.0,0.0,5.0,-5.0,7.0,35.0,0.0,35.0,12.0,7.0,5.0,-2.0,-7.0,5.0
25,1,3,1,sub,-2.0,3.0,1.0,2.0,1.0,1.0,3.0,-2.0,2.0,4.0,-2.0,0.0,2.0,-2.0
26,5,0,1,sub,5.0,0.0,5.0,-5.0,1.0,5.0,0.0,5.0,6.0,1.0,5.0,4.0,-1.0,5.0
27,1,1,1,sub,0.0,1.0,1.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,0.0,-8.0,-8.0,0.0
28,1,6,1,sub,-5.0,6.0,1.0,5.0,8.0,8.0,48.0,-40.0,9.0,14.0,-5.0,-7.0,-2.0,-5.0
29,5,7,1,sub,-2.0,7.0,5.0,2.0,9.0,45.0,63.0,-18.0,14.0,16.0,-2.0,-4.0,-2.0,-2.0
30,0,6,1,sub,-6.0,6.0,0.0,6.0,6.0,0.0,36.0,-36.0,6.0,12.0,-6.0,-6.0,0.0,-6.0
31,3,9,1,sub,-6.0,9.0,3.0,6.0,1.0,3.0,9.0,-6.0,4.0,10.0,-6.0,2.0,8.0,-6.0
32,6,8,1,sub,-2.0,8.0,6.0,2.0,4.0,24.0,32.0,-8.0,10.0,12.0,-2.0,2.0,4.0,-2.0
33,9,5,1,sub,4.0,5.0,9.0,-4.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,9.0,5.0,4.0
34,1,8,1,sub,-7.0,8.0,1.0,7.0,5.0,5.0,40.0,-35.0,6.0,13.0,-7.0,-4.0,3.0,-7.0
35,9,6,1,sub,3.0,6.0,9.0,-3.0,7.0,63.0,42.0,21.0,16.0,13.0,3.0,2.0,-1.0,3.0
36,5,0,1,sub,5.0,0.0,5.0,-5.0,2.0,10.0,0.0,10.0,7.0,2.0,5.0,3.0,-2.0,5.0
37,4,0,1,sub,4.0,0.0,4.0,-4.0,6.0,24.0,0.0,24.0,10.0,6.0,4.0,-2.0,-6.0,4.0
38,1,2,1,sub,-1.0,2.0,1.0,1.0,3.0,3.0,6.0,-3.0,4.0,5.0,-1.0,-2.0,-1.0,-1.0
39,8,4,1,sub,4.0,4.0,8.0,-4.0,5.0,40.0,20.0,20.0,13.0,9.0,4.0,3.0,-1.0,4.0
40,3,3,1,sub,0.0,3.0,3.0,0.0,6.0,18.0,18.0,0.0,9.0,9.0,0.0,-3.0,-3.0,0.0
41,2,0,1,sub,2.0,0.0,2.0,-2.0,9.0,18.0,0.0,18.0,11.0,9.0,2.0,-7.0,-9.0,2.0
42,3,5,1,sub,-2.0,5.0,3.0,2.0,7.0,21.0,35.0,-14.0,10.0,12.0,-2.0,-4.0,-2.0,-2.0
43,5,6,1,sub,-1.0,6.0,5.0,1.0,8.0,40.0,48.0,-8.0,13.0,14.0,-1.0,-3.0,-2.0,-1.0
44,5,4,1,sub,1.0,4.0,5.0,-1.0,2.0,10.0,8.0,2.0,7.0,6.0,1.0,3.0,2.0,1.0
45,1,3,1,sub,-2.0,3.0,1.0,2.0,3.0,3.0,9.0,-6.0,4.0,6.0,-2.0,-2.0,0.0,-2.0
46,8,0,1,sub,8.0,0.0,8.0,-8.0,7.0,56.0,0.0,56.0,15.0,7.0,8.0,1.0,-7.0,8.0
47,9,7,1,sub,2.0,7.0,9.0,-2.0,2.0,18.0,14.0,4.0,11.0,9.0,2.0,7.0,5.0,2.0
48,3,9,1,sub,-6.0,9.0,3.0,6.0,4.0,12.0,36.0,-24.0,7.0,13.0,-6.0,-1.0,5.0,-6.0
49,9,4,1,sub,5.0,4.0,9.0,-5.0,6.0,54.0,24.0,30.0,15.0,10.0,5.0,3.0,-2.0,5.0
50,1,3,1,sub,-2.0,3.0,1.0,2.0,7.0,7.0,21.0,-14.0,8.0,10.0,-2.0,-6.0,-4.0,-2.0
51,9,2,1,sub,7.0,2.0,9.0,-7.0,6.0,54.0,12.0,42.0,15.0,8.0,7.0,3.0,-4.0,7.0
52,9,2,1,sub,7.0,2.0,9.0,-7.0,1.0,9.0,2.0,7.0,10.0,3.0,7.0,8.0,1.0,7.0
53,5,0,1,sub,5.0,0.0,5.0,-5.0,9.0,45.0,0.0,45.0,14.0,9.0,5.0,-4.0,-9.0,5.0
54,6,6,1,sub,0.0,6.0,6.0,0.0,4.0,24.0,24.0,0.0,10.0,10.0,0.0,2.0,2.0,0.0
55,8,5,1,sub,3.0,5.0,8.0,-3.0,1.0,8.0,5.0,3.0,9.0,6.0,3.0,7.0,4.0,3.0
56,6,1,1,sub,5.0,1.0,6.0,-5.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,6.0,1.0,5.0
57,7,4,1,sub,3.0,4.0,7.0,-3.0,7.0,49.0,28.0,21.0,14.0,11.0,3.0,0.0,-3.0,3.0
58,1,4,1,sub,-3.0,4.0,1.0,3.0,6.0,6.0,24.0,-18.0,7.0,10.0,-3.0,-5.0,-2.0,-3.0
59,9,4,1,sub,5.0,4.0,9.0,-5.0,9.0,81.0,36.0,45.0,18.0,13.0,5.0,0.0,-5.0,5.0
60,6,6,1,sub,0.0,6.0,6.0,0.0,3.0,18.0,18.0,0.0,9.0,9.0,0.0,3.0,3.0,0.0
61,7,3,1,sub,4.0,3.0,7.0,-4.0,3.0,21.0,9.0,12.0,10.0,6.0,4.0,4.0,0.0,4.0
62,9,4,1,sub,5.0,4.0,9.0,-5.0,8.0,72.0,32.0,40.0,17.0,12.0,5.0,1.0,-4.0,5.0
63,1,4,1,sub,-3.0,4.0,1.0,3.0,8.0,8.0,32.0,-24.0,9.0,12.0,-3.0,-7.0,-4.0,-3.0
64,6,5,1,sub,1.0,5.0,6.0,-1.0,2.0,12.0,10.0,2.0,8.0,7.0,1.0,4.0,3.0,1.0
65,5,7,1,sub,-2.0,7.0,5.0,2.0,5.0,25.0,35.0,-10.0,10.0,12.0,-2.0,0.0,2.0,-2.0
66,4,4,1,sub,0.0,4.0,4.0,0.0,9.0,36.0,36.0,0.0,13.0,13.0,0.0,-5.0,-5.0,0.0
67,5,3,1,sub,2.0,3.0,5.0,-2.0,6.0,30.0,18.0,12.0,11.0,9.0,2.0,-1.0,-3.0,2.0
68,4,1,1,sub,3.0,1.0,4.0,-3.0,6.0,24.0,6.0,18.0,10.0,7.0,3.0,-2.0,-5.0,3.0
69,7,9,1,sub,-2.0,9.0,7.0,2.0,2.0,14.0,18.0,-4.0,9.0,11.0,-2.0,5.0,7.0,-2.0
70,7,8,1,sub,-1.0,8.0,7.0,1.0,1.0,7.0,8.0,-1.0,8.0,9.0,-1.0,6.0,7.0,-1.0
71,5,8,1,sub,-3.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,8.0,-3.0,5.0,8.0,-3.0
72,2,7,1,sub,-5.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,-5.0,2.0,7.0,-5.0
73,9,3,1,sub,6.0,3.0,9.0,-6.0,7.0,63.0,21.0,42.0,16.0,10.0,6.0,2.0,-4.0,6.0
74,8,9,1,sub,-1.0,9.0,8.0,1.0,2.0,16.0,18.0,-2.0,10.0,11.0,-1.0,6.0,7.0,-1.0
75,0,5,1,sub,-5.0,5.0,0.0,5.0,5.0,0.0,25.0,-25.0,5.0,10.0,-5.0,-5.0,0.0,-5.0
76,0,7,1,sub,-7.0,7.0,0.0,7.0,8.0,0.0,56.0,-56.0,8.0,15.0,-7.0,-8.0,-1.0,-7.0
77,0,1,1,sub,-1.0,1.0,0.0,1.0,8.0,0.0,8.0,-8.0,8.0,9.0,-1.0,-8.0,-7.0,-1.0
78,2,1,1,sub,1.0,1.0,2.0,-1.0,4.0,8.0,4.0,4.0,6.0,5.0,1.0,-2.0,-3.0,1.0
79,5,6,1,sub,-1.0,6.0,5.0,1.0,7.0,35.0,42.0,-7.0,12.0,13.0,-1.0,-2.0,-1.0,-1.0
80,3,6,1,sub,-3.0,6.0,3.0,3.0,9.0,27.0,54.0,-27.0,12.0,15.0,-3.0,-6.0,-3.0,-3.0
81,3,1,1,sub,2.0,1.0,3.0,-2.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0
82,7,3,1,sub,4.0,3.0,7.0,-4.0,8.0,56.0,24.0,32.0,15.0,11.0,4.0,-1.0,-5.0,4.0
83,6,2,1,sub,4.0,2.0,6.0,-4.0,7.0,42.0,14.0,28.0,13.0,9.0,4.0,-1.0,-5.0,4.0
84,0,5,1,sub,-5.0,5.0,0.0,5.0,7.0,0.0,35.0,-35.0,7.0,12.0,-5.0,-7.0,-2.0,-5.0
85,8,4,1,sub,4.0,4.0,8.0,-4.0,6.0,48.0,24.0,24.0,14.0,10.0,4.0,2.0,-2.0,4.0
86,7,3,1,sub,4.0,3.0,7.0,-4.0,4.0,28.0,12.0,16.0,11.0,7.0,4.0,3.0,-1.0,4.0
87,4,1,1,sub,3.0,1.0,4.0,-3.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,1.0,3.0
88,9,1,1,sub,8.0,1.0,9.0,-8.0,3.0,27.0,3.0,24.0,12.0,4.0,8.0,6.0,-2.0,8.0
89,6,4,1,sub,2.0,4.0,6.0,-2.0,9.0,54.0,36.0,18.0,15.0,13.0,2.0,-3.0,-5.0,2.0
90,7,2,1,sub,5.0,2.0,7.0,-5.0,9.0,63.0,18.0,45.0,16.0,11.0,5.0,-2.0,-7.0,5.0
91,5,5,1,sub,0.0,5.0,5.0,0.0,1.0,5.0,5.0,0.0,6.0,6.0,0.0,4.0,4.0,0.0
92,8,0,1,sub,8.0,0.0,8.0,-8.0,5.0,40.0,0.0,40.0,13.0,5.0,8.0,3.0,-5.0,8.0
93,6,3,1,sub,3.0,3.0,6.0,-3.0,5.0,30.0,15.0,15.0,11.0,8.0,3.0,1.0,-2.0,3.0
94,4,1,1,sub,3.0,1.0,4.0,-3.0,1.0,4.0,1.0,3.0,5.0,2.0,3.0,3.0,0.0,3.0
95,8,7,1,sub,1.0,7.0,8.0,-1.0,1.0,8.0,7.0,1.0,9.0,8.0,1.0,7.0,6.0,1.0
96,1,9,1,sub,-8.0,9.0,1.0,8.0,3.0,3.0,27.0,-24.0,4.0,12.0,-8.0,-2.0,6.0,-8.0
97,3,1,1,sub,2.0,1.0,3.0,-2.0,3.0,9.0,3.0,6.0,6.0,4.0,2.0,0.0,-2.0,2.0
98,1,4,1,sub,-3.0,4.0,1.0,3.0,5.0,5.0,20.0,-15.0,6.0,9.0,-3.0,-4.0,-1.0,-3.0
99,9,7,1,sub,2.0,7.0,9.0,-2.0,7.0,63.0,49.0,14.0,16.0,14.0,2.0,2.0,0.0,2.0
