,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
27,input_a==1,input_b==1,sub,output==0,MR1_input_a==1,MR1_input_b==1,MR1_output==0,constant==9,MR2_input_a==9,MR2_input_b==9,MR2_output==0,MR3_input_a==10,MR3_input_b==10,MR3_output==0,MR4_input_a==-8,MR4_input_b==-8,MR4_output==0,No-violated,No-violated,No-violated,No-violated,KMeans==4,five
100,input_a==3,input_b==0,sum,output==3,MR1_input_a==0,MR1_input_b==3,MR1_output==3,constant==5,MR2_input_a==15,MR2_input_b==0,MR2_output==15,MR3_input_a==8,MR3_input_b==5,MR3_output==13,MR4_input_a==-2,MR4_input_b==-5,MR4_output==-7,No-violated,No-violated,Violated,Violated,KMeans==4,five
103,input_a==4,input_b==0,sum,output==4,MR1_input_a==0,MR1_input_b==4,MR1_output==4,constant==1,MR2_input_a==4,MR2_input_b==0,MR2_output==4,MR3_input_a==5,MR3_input_b==1,MR3_output==6,MR4_input_a==3,MR4_input_b==-1,MR4_output==2,No-violated,No-violated,Violated,Violated,KMeans==4,five
104,input_a==1,input_b==4,sum,output==5,MR1_input_a==4,MR1_input_b==1,MR1_output==5,constant==2,MR2_input_a==2,MR2_input_b==8,MR2_output==10,MR3_input_a==3,MR3_input_b==6,MR3_output==9,MR4_input_a==-1,MR4_input_b==2,MR4_output==1,No-violated,No-violated,Violated,Violated,KMeans==4,five
105,input_a==2,input_b==1,sum,output==3,MR1_input_a==1,MR1_input_b==2,MR1_output==3,constant==3,MR2_input_a==6,MR2_input_b==3,MR2_output==9,MR3_input_a==5,MR3_input_b==4,MR3_output==9,MR4_input_a==-1,MR4_input_b==-2,MR4_output==-3,No-violated,No-violated,Violated,Violated,KMeans==4,five
108,input_a==5,input_b==2,sum,output==7,MR1_input_a==2,MR1_input_b==5,MR1_output==7,constant==6,MR2_input_a==30,MR2_input_b==12,MR2_output==42,MR3_input_a==11,MR3_input_b==8,MR3_output==19,MR4_input_a==-1,MR4_input_b==-4,MR4_output==-5,No-violated,No-violated,Violated,Violated,KMeans==4,five
115,input_a==5,input_b==0,sum,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==5,constant==2,MR2_input_a==10,MR2_input_b==0,MR2_output==10,MR3_input_a==7,MR3_input_b==2,MR3_output==9,MR4_input_a==3,MR4_input_b==-2,MR4_output==1,No-violated,No-violated,Violated,Violated,KMeans==4,five
119,input_a==3,input_b==4,sum,output==7,MR1_input_a==4,MR1_input_b==3,MR1_output==7,constant==7,MR2_input_a==21,MR2_input_b==28,MR2_output==49,MR3_input_a==10,MR3_input_b==11,MR3_output==21,MR4_input_a==-4,MR4_input_b==-3,MR4_output==-7,No-violated,No-violated,Violated,Violated,KMeans==4,five
120,input_a==2,input_b==1,sum,output==3,MR1_input_a==1,MR1_input_b==2,MR1_output==3,constant==4,MR2_input_a==8,MR2_input_b==4,MR2_output==12,MR3_input_a==6,MR3_input_b==5,MR3_output==11,MR4_input_a==-2,MR4_input_b==-3,MR4_output==-5,No-violated,No-violated,Violated,Violated,KMeans==4,five
123,input_a==6,input_b==0,sum,output==6,MR1_input_a==0,MR1_input_b==6,MR1_output==6,constant==3,MR2_input_a==18,MR2_input_b==0,MR2_output==18,MR3_input_a==9,MR3_input_b==3,MR3_output==12,MR4_input_a==3,MR4_input_b==-3,MR4_output==0,No-violated,No-violated,Violated,Violated,KMeans==4,five
124,input_a==5,input_b==0,sum,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==5,constant==7,MR2_input_a==35,MR2_input_b==0,MR2_output==35,MR3_input_a==12,MR3_input_b==7,MR3_output==19,MR4_input_a==-2,MR4_input_b==-7,MR4_output==-9,No-violated,No-violated,Violated,Violated,KMeans==4,five
125,input_a==1,input_b==3,sum,output==4,MR1_input_a==3,MR1_input_b==1,MR1_output==4,constant==1,MR2_input_a==1,MR2_input_b==3,MR2_output==4,MR3_input_a==2,MR3_input_b==4,MR3_output==6,MR4_input_a==0,MR4_input_b==2,MR4_output==2,No-violated,No-violated,Violated,Violated,KMeans==4,five
126,input_a==5,input_b==0,sum,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==5,constant==1,MR2_input_a==5,MR2_input_b==0,MR2_output==5,MR3_input_a==6,MR3_input_b==1,MR3_output==7,MR4_input_a==4,MR4_input_b==-1,MR4_output==3,No-violated,No-violated,Violated,Violated,KMeans==4,five
127,input_a==1,input_b==1,sum,output==2,MR1_input_a==1,MR1_input_b==1,MR1_output==2,constant==9,MR2_input_a==9,MR2_input_b==9,MR2_output==18,MR3_input_a==10,MR3_input_b==10,MR3_output==20,MR4_input_a==-8,MR4_input_b==-8,MR4_output==-16,No-violated,No-violated,Violated,Violated,KMeans==4,five
128,input_a==1,input_b==6,sum,output==7,MR1_input_a==6,MR1_input_b==1,MR1_output==7,constant==8,MR2_input_a==8,MR2_input_b==48,MR2_output==56,MR3_input_a==9,MR3_input_b==14,MR3_output==23,MR4_input_a==-7,MR4_input_b==-2,MR4_output==-9,No-violated,No-violated,Violated,Violated,KMeans==4,five
130,input_a==0,input_b==6,sum,output==6,MR1_input_a==6,MR1_input_b==0,MR1_output==6,constant==6,MR2_input_a==0,MR2_input_b==36,MR2_output==36,MR3_input_a==6,MR3_input_b==12,MR3_output==18,MR4_input_a==-6,MR4_input_b==0,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==4,five
134,input_a==1,input_b==8,sum,output==9,MR1_input_a==8,MR1_input_b==1,MR1_output==9,constant==5,MR2_input_a==5,MR2_input_b==40,MR2_output==45,MR3_input_a==6,MR3_input_b==13,MR3_output==19,MR4_input_a==-4,MR4_input_b==3,MR4_output==-1,No-violated,No-violated,Violated,Violated,KMeans==4,five
136,input_a==5,input_b==0,sum,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==5,constant==2,MR2_input_a==10,MR2_input_b==0,MR2_output==10,MR3_input_a==7,MR3_input_b==2,MR3_output==9,MR4_input_a==3,MR4_input_b==-2,MR4_output==1,No-violated,No-violated,Violated,Violated,KMeans==4,five
137,input_a==4,input_b==0,sum,output==4,MR1_input_a==0,MR1_input_b==4,MR1_output==4,constant==6,MR2_input_a==24,MR2_input_b==0,MR2_output==24,MR3_input_a==10,MR3_input_b==6,MR3_output==16,MR4_input_a==-2,MR4_input_b==-6,MR4_output==-8,No-violated,No-violated,Violated,Violated,KMeans==4,five
138,input_a==1,input_b==2,sum,output==3,MR1_input_a==2,MR1_input_b==1,MR1_output==3,constant==3,MR2_input_a==3,MR2_input_b==6,MR2_output==9,MR3_input_a==4,MR3_input_b==5,MR3_output==9,MR4_input_a==-2,MR4_input_b==-1,MR4_output==-3,No-violated,No-violated,Violated,Violated,KMeans==4,five
140,input_a==3,input_b==3,sum,output==6,MR1_input_a==3,MR1_input_b==3,MR1_output==6,constant==6,MR2_input_a==18,MR2_input_b==18,MR2_output==36,MR3_input_a==9,MR3_input_b==9,MR3_output==18,MR4_input_a==-3,MR4_input_b==-3,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==4,five
141,input_a==2,input_b==0,sum,output==2,MR1_input_a==0,MR1_input_b==2,MR1_output==2,constant==9,MR2_input_a==18,MR2_input_b==0,MR2_output==18,MR3_input_a==11,MR3_input_b==9,MR3_output==20,MR4_input_a==-7,MR4_input_b==-9,MR4_output==-16,No-violated,No-violated,Violated,Violated,KMeans==4,five
145,input_a==1,input_b==3,sum,output==4,MR1_input_a==3,MR1_input_b==1,MR1_output==4,constant==3,MR2_input_a==3,MR2_input_b==9,MR2_output==12,MR3_input_a==4,MR3_input_b==6,MR3_output==10,MR4_input_a==-2,MR4_input_b==0,MR4_output==-2,No-violated,No-violated,Violated,Violated,KMeans==4,five
150,input_a==1,input_b==3,sum,output==4,MR1_input_a==3,MR1_input_b==1,MR1_output==4,constant==7,MR2_input_a==7,MR2_input_b==21,MR2_output==28,MR3_input_a==8,MR3_input_b==10,MR3_output==18,MR4_input_a==-6,MR4_input_b==-4,MR4_output==-10,No-violated,No-violated,Violated,Violated,KMeans==4,five
158,input_a==1,input_b==4,sum,output==5,MR1_input_a==4,MR1_input_b==1,MR1_output==5,constant==6,MR2_input_a==6,MR2_input_b==24,MR2_output==30,MR3_input_a==7,MR3_input_b==10,MR3_output==17,MR4_input_a==-5,MR4_input_b==-2,MR4_output==-7,No-violated,No-violated,Violated,Violated,KMeans==4,five
163,input_a==1,input_b==4,sum,output==5,MR1_input_a==4,MR1_input_b==1,MR1_output==5,constant==8,MR2_input_a==8,MR2_input_b==32,MR2_output==40,MR3_input_a==9,MR3_input_b==12,MR3_output==21,MR4_input_a==-7,MR4_input_b==-4,MR4_output==-11,No-violated,No-violated,Violated,Violated,KMeans==4,five
168,input_a==4,input_b==1,sum,output==5,MR1_input_a==1,MR1_input_b==4,MR1_output==5,constant==6,MR2_input_a==24,MR2_input_b==6,MR2_output==30,MR3_input_a==10,MR3_input_b==7,MR3_output==17,MR4_input_a==-2,MR4_input_b==-5,MR4_output==-7,No-violated,No-violated,Violated,Violated,KMeans==4,five
175,input_a==0,input_b==5,sum,output==5,MR1_input_a==5,MR1_input_b==0,MR1_output==5,constant==5,MR2_input_a==0,MR2_input_b==25,MR2_output==25,MR3_input_a==5,MR3_input_b==10,MR3_output==15,MR4_input_a==-5,MR4_input_b==0,MR4_output==-5,No-violated,No-violated,Violated,Violated,KMeans==4,five
176,input_a==0,input_b==7,sum,output==7,MR1_input_a==7,MR1_input_b==0,MR1_output==7,constant==8,MR2_input_a==0,MR2_input_b==56,MR2_output==56,MR3_input_a==8,MR3_input_b==15,MR3_output==23,MR4_input_a==-8,MR4_input_b==-1,MR4_output==-9,No-violated,No-violated,Violated,Violated,KMeans==4,five
177,input_a==0,input_b==1,sum,output==1,MR1_input_a==1,MR1_input_b==0,MR1_output==1,constant==8,MR2_input_a==0,MR2_input_b==8,MR2_output==8,MR3_input_a==8,MR3_input_b==9,MR3_output==17,MR4_input_a==-8,MR4_input_b==-7,MR4_output==-15,No-violated,No-violated,Violated,Violated,KMeans==4,five
178,input_a==2,input_b==1,sum,output==3,MR1_input_a==1,MR1_input_b==2,MR1_output==3,constant==4,MR2_input_a==8,MR2_input_b==4,MR2_output==12,MR3_input_a==6,MR3_input_b==5,MR3_output==11,MR4_input_a==-2,MR4_input_b==-3,MR4_output==-5,No-violated,No-violated,Violated,Violated,KMeans==4,five
181,input_a==3,input_b==1,sum,output==4,MR1_input_a==1,MR1_input_b==3,MR1_output==4,constant==1,MR2_input_a==3,MR2_input_b==1,MR2_output==4,MR3_input_a==4,MR3_input_b==2,MR3_output==6,MR4_input_a==2,MR4_input_b==0,MR4_output==2,No-violated,No-violated,Violated,Violated,KMeans==4,five
184,input_a==0,input_b==5,sum,output==5,MR1_input_a==5,MR1_input_b==0,MR1_output==5,constant==7,MR2_input_a==0,MR2_input_b==35,MR2_output==35,MR3_input_a==7,MR3_input_b==12,MR3_output==19,MR4_input_a==-7,MR4_input_b==-2,MR4_output==-9,No-violated,No-violated,Violated,Violated,KMeans==4,five
194,input_a==4,input_b==1,sum,output==5,MR1_input_a==1,MR1_input_b==4,MR1_output==5,constant==1,MR2_input_a==4,MR2_input_b==1,MR2_output==5,MR3_input_a==5,MR3_input_b==2,MR3_output==7,MR4_input_a==3,MR4_input_b==0,MR4_output==3,No-violated,No-violated,Violated,Violated,KMeans==4,five
197,input_a==3,input_b==1,sum,output==4,MR1_input_a==1,MR1_input_b==3,MR1_output==4,constant==3,MR2_input_a==9,MR2_input_b==3,MR2_output==12,MR3_input_a==6,MR3_input_b==4,MR3_output==10,MR4_input_a==0,MR4_input_b==-2,MR4_output==-2,No-violated,No-violated,Violated,Violated,KMeans==4,five
198,input_a==1,input_b==4,sum,output==5,MR1_input_a==4,MR1_input_b==1,MR1_output==5,constant==5,MR2_input_a==5,MR2_input_b==20,MR2_output==25,MR3_input_a==6,MR3_input_b==9,MR3_output==15,MR4_input_a==-4,MR4_input_b==-1,MR4_output==-5,No-violated,No-violated,Violated,Violated,KMeans==4,five
