,"(a,b)",input_a,input_b,operand,const,output,MR2_input_a,MR2_input_b,MR2_inputs,MR2_output,MR2_checker
0,"(9,2)",9,2,sub,6,7.0,54.0,12.0,"(54,12)",42.0,No-violated
1,"(8,1)",8,1,sub,6,7.0,48.0,6.0,"(48,6)",42.0,No-violated
2,"(4,8)",4,8,sub,6,-4.0,24.0,48.0,"(24,48)",-24.0,Violated
3,"(7,2)",7,2,sub,6,5.0,42.0,12.0,"(42,12)",30.0,No-violated
4,"(0,6)",0,6,sub,6,-6.0,0.0,36.0,"(0,36)",-36.0,Violated
5,"(2,5)",2,5,sub,6,-3.0,12.0,30.0,"(12,30)",-18.0,Violated
6,"(5,0)",5,0,sub,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
7,"(4,9)",4,9,sub,6,-5.0,24.0,54.0,"(24,54)",-30.0,Violated
8,"(2,1)",2,1,sub,6,1.0,12.0,6.0,"(12,6)",6.0,No-violated
9,"(7,6)",7,6,sub,6,1.0,42.0,36.0,"(42,36)",6.0,No-violated
10,"(4,3)",4,3,sub,6,1.0,24.0,18.0,"(24,18)",6.0,No-violated
11,"(9,8)",9,8,sub,6,1.0,54.0,48.0,"(54,48)",6.0,No-violated
12,"(5,0)",5,0,sub,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
13,"(8,5)",8,5,sub,6,3.0,48.0,30.0,"(48,30)",18.0,No-violated
14,"(6,2)",6,2,sub,6,4.0,36.0,12.0,"(36,12)",24.0,No-violated
15,"(1,2)",1,2,sub,6,-1.0,6.0,12.0,"(6,12)",-6.0,Violated
16,"(2,7)",2,7,sub,6,-5.0,12.0,42.0,"(12,42)",-30.0,Violated
17,"(3,4)",3,4,sub,6,-1.0,18.0,24.0,"(18,24)",-6.0,Violated
18,"(6,2)",6,2,sub,6,4.0,36.0,12.0,"(36,12)",24.0,No-violated
19,"(5,6)",5,6,sub,6,-1.0,30.0,36.0,"(30,36)",-6.0,Violated
20,"(3,4)",3,4,sub,6,-1.0,18.0,24.0,"(18,24)",-6.0,Violated
21,"(3,8)",3,8,sub,6,-5.0,18.0,48.0,"(18,48)",-30.0,Violated
22,"(0,1)",0,1,sub,6,-1.0,0.0,6.0,"(0,6)",-6.0,Violated
23,"(1,7)",1,7,sub,6,-6.0,6.0,42.0,"(6,42)",-36.0,Violated
24,"(5,0)",5,0,sub,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
25,"(6,0)",6,0,sub,6,6.0,36.0,0.0,"(36,0)",36.0,No-violated
26,"(7,6)",7,6,sub,6,1.0,42.0,36.0,"(42,36)",6.0,No-violated
27,"(7,0)",7,0,sub,6,7.0,42.0,0.0,"(42,0)",42.0,No-violated
28,"(4,4)",4,4,sub,6,0.0,24.0,24.0,"(24,24)",0.0,Violated
29,"(2,5)",2,5,sub,6,-3.0,12.0,30.0,"(12,30)",-18.0,Violated
30,"(4,5)",4,5,sub,6,-1.0,24.0,30.0,"(24,30)",-6.0,Violated
31,"(2,7)",2,7,sub,6,-5.0,12.0,42.0,"(12,42)",-30.0,Violated
32,"(6,3)",6,3,sub,6,3.0,36.0,18.0,"(36,18)",18.0,No-violated
33,"(7,9)",7,9,sub,6,-2.0,42.0,54.0,"(42,54)",-12.0,Violated
34,"(6,2)",6,2,sub,6,4.0,36.0,12.0,"(36,12)",24.0,No-violated
35,"(1,2)",1,2,sub,6,-1.0,6.0,12.0,"(6,12)",-6.0,Violated
36,"(6,9)",6,9,sub,6,-3.0,36.0,54.0,"(36,54)",-18.0,Violated
37,"(2,4)",2,4,sub,6,-2.0,12.0,24.0,"(12,24)",-12.0,Violated
38,"(7,8)",7,8,sub,6,-1.0,42.0,48.0,"(42,48)",-6.0,Violated
39,"(1,6)",1,6,sub,6,-5.0,6.0,36.0,"(6,36)",-30.0,Violated
40,"(1,6)",1,6,sub,6,-5.0,6.0,36.0,"(6,36)",-30.0,Violated
41,"(1,9)",1,9,sub,6,-8.0,6.0,54.0,"(6,54)",-48.0,Violated
42,"(0,7)",0,7,sub,6,-7.0,0.0,42.0,"(0,42)",-42.0,Violated
43,"(4,7)",4,7,sub,6,-3.0,24.0,42.0,"(24,42)",-18.0,Violated
44,"(3,5)",3,5,sub,6,-2.0,18.0,30.0,"(18,30)",-12.0,Violated
45,"(1,7)",1,7,sub,6,-6.0,6.0,42.0,"(6,42)",-36.0,Violated
46,"(5,8)",5,8,sub,6,-3.0,30.0,48.0,"(30,48)",-18.0,Violated
47,"(5,1)",5,1,sub,6,4.0,30.0,6.0,"(30,6)",24.0,No-violated
48,"(8,8)",8,8,sub,6,0.0,48.0,48.0,"(48,48)",0.0,Violated
49,"(6,6)",6,6,sub,6,0.0,36.0,36.0,"(36,36)",0.0,Violated
50,"(5,2)",5,2,sub,6,3.0,30.0,12.0,"(30,12)",18.0,No-violated
51,"(3,5)",3,5,sub,6,-2.0,18.0,30.0,"(18,30)",-12.0,Violated
52,"(9,9)",9,9,sub,6,0.0,54.0,54.0,"(54,54)",0.0,Violated
53,"(2,4)",2,4,sub,6,-2.0,12.0,24.0,"(12,24)",-12.0,Violated
54,"(9,7)",9,7,sub,6,2.0,54.0,42.0,"(54,42)",12.0,No-violated
55,"(0,2)",0,2,sub,6,-2.0,0.0,12.0,"(0,12)",-12.0,Violated
56,"(0,2)",0,2,sub,6,-2.0,0.0,12.0,"(0,12)",-12.0,Violated
57,"(0,1)",0,1,sub,6,-1.0,0.0,6.0,"(0,6)",-6.0,Violated
58,"(6,1)",6,1,sub,6,5.0,36.0,6.0,"(36,6)",30.0,No-violated
59,"(9,3)",9,3,sub,6,6.0,54.0,18.0,"(54,18)",36.0,No-violated
60,"(4,2)",4,2,sub,6,2.0,24.0,12.0,"(24,12)",12.0,No-violated
61,"(0,3)",0,3,sub,6,-3.0,0.0,18.0,"(0,18)",-18.0,Violated
62,"(6,3)",6,3,sub,6,3.0,36.0,18.0,"(36,18)",18.0,No-violated
63,"(9,7)",9,7,sub,6,2.0,54.0,42.0,"(54,42)",12.0,No-violated
64,"(3,4)",3,4,sub,6,-1.0,18.0,24.0,"(18,24)",-6.0,Violated
65,"(5,7)",5,7,sub,6,-2.0,30.0,42.0,"(30,42)",-12.0,Violated
66,"(9,6)",9,6,sub,6,3.0,54.0,36.0,"(54,36)",18.0,No-violated
67,"(3,4)",3,4,sub,6,-1.0,18.0,24.0,"(18,24)",-6.0,Violated
68,"(7,4)",7,4,sub,6,3.0,42.0,24.0,"(42,24)",18.0,No-violated
69,"(7,9)",7,9,sub,6,-2.0,42.0,54.0,"(42,54)",-12.0,Violated
70,"(5,7)",5,7,sub,6,-2.0,30.0,42.0,"(30,42)",-12.0,Violated
71,"(5,8)",5,8,sub,6,-3.0,30.0,48.0,"(30,48)",-18.0,Violated
72,"(0,6)",0,6,sub,6,-6.0,0.0,36.0,"(0,36)",-36.0,Violated
73,"(1,0)",1,0,sub,6,1.0,6.0,0.0,"(6,0)",6.0,No-violated
74,"(2,2)",2,2,sub,6,0.0,12.0,12.0,"(12,12)",0.0,Violated
75,"(3,7)",3,7,sub,6,-4.0,18.0,42.0,"(18,42)",-24.0,Violated
76,"(1,7)",1,7,sub,6,-6.0,6.0,42.0,"(6,42)",-36.0,Violated
77,"(9,9)",9,9,sub,6,0.0,54.0,54.0,"(54,54)",0.0,Violated
78,"(2,9)",2,9,sub,6,-7.0,12.0,54.0,"(12,54)",-42.0,Violated
79,"(4,8)",4,8,sub,6,-4.0,24.0,48.0,"(24,48)",-24.0,Violated
80,"(5,4)",5,4,sub,6,1.0,30.0,24.0,"(30,24)",6.0,No-violated
81,"(2,6)",2,6,sub,6,-4.0,12.0,36.0,"(12,36)",-24.0,Violated
82,"(1,6)",1,6,sub,6,-5.0,6.0,36.0,"(6,36)",-30.0,Violated
83,"(6,2)",6,2,sub,6,4.0,36.0,12.0,"(36,12)",24.0,No-violated
84,"(4,1)",4,1,sub,6,3.0,24.0,6.0,"(24,6)",18.0,No-violated
85,"(2,7)",2,7,sub,6,-5.0,12.0,42.0,"(12,42)",-30.0,Violated
86,"(6,5)",6,5,sub,6,1.0,36.0,30.0,"(36,30)",6.0,No-violated
87,"(9,4)",9,4,sub,6,5.0,54.0,24.0,"(54,24)",30.0,No-violated
88,"(8,1)",8,1,sub,6,7.0,48.0,6.0,"(48,6)",42.0,No-violated
89,"(9,4)",9,4,sub,6,5.0,54.0,24.0,"(54,24)",30.0,No-violated
90,"(4,0)",4,0,sub,6,4.0,24.0,0.0,"(24,0)",24.0,No-violated
91,"(4,3)",4,3,sub,6,1.0,24.0,18.0,"(24,18)",6.0,No-violated
92,"(5,1)",5,1,sub,6,4.0,30.0,6.0,"(30,6)",24.0,No-violated
93,"(3,5)",3,5,sub,6,-2.0,18.0,30.0,"(18,30)",-12.0,Violated
94,"(2,5)",2,5,sub,6,-3.0,12.0,30.0,"(12,30)",-18.0,Violated
95,"(2,7)",2,7,sub,6,-5.0,12.0,42.0,"(12,42)",-30.0,Violated
96,"(2,3)",2,3,sub,6,-1.0,12.0,18.0,"(12,18)",-6.0,Violated
97,"(1,3)",1,3,sub,6,-2.0,6.0,18.0,"(6,18)",-12.0,Violated
98,"(0,6)",0,6,sub,6,-6.0,0.0,36.0,"(0,36)",-36.0,Violated
99,"(1,8)",1,8,sub,6,-7.0,6.0,48.0,"(6,48)",-42.0,Violated
